6:C 09 Oct 10:03:38.525 # oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
6:C 09 Oct 10:03:38.525 # Redis version=4.0.11, bits=64, commit=00000000, modified=0, pid=6, just started
6:C 09 Oct 10:03:38.525 # Configuration loaded
6:M 09 Oct 10:03:38.527 * No cluster configuration found, I'm 954cdc57c901694de9d4f31122b83fd0de042ff6
6:M 09 Oct 10:03:38.561 * Running mode=cluster, port=6379.
6:M 09 Oct 10:03:38.561 # WARNING: The TCP backlog setting of 511 cannot be enforced because /proc/sys/net/core/somaxconn is set to the lower value of 128.
6:M 09 Oct 10:03:38.561 # Server initialized
6:M 09 Oct 10:03:38.562 # WARNING overcommit_memory is set to 0! Background save may fail under low memory condition. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
6:M 09 Oct 10:03:38.562 # WARNING you have Transparent Huge Pages (THP) support enabled in your kernel. This will create latency and memory usage issues with Redis. To fix this issue run the command 'echo never > /sys/kernel/mm/transparent_hugepage/enabled' as root, and add it to your /etc/rc.local in order to retain the setting after a reboot. Redis must be restarted after THP is disabled.
6:M 09 Oct 10:03:38.562 * Ready to accept connections
6:M 09 Oct 10:13:19.284 # configEpoch set to 5 via CLUSTER SET-CONFIG-EPOCH
6:S 09 Oct 10:13:23.380 * Before turning into a slave, using my master parameters to synthesize a cached master: I may be able to synchronize with the new master with just a partial transfer.
6:S 09 Oct 10:13:23.380 # Cluster state changed: ok
6:S 09 Oct 10:13:23.608 * Connecting to MASTER 101.200.56.53:6393
6:S 09 Oct 10:13:23.608 * MASTER <-> SLAVE sync started
6:S 09 Oct 10:13:23.609 * Non blocking connect for SYNC fired the event.
6:S 09 Oct 10:13:23.611 * Master replied to PING, replication can continue...
6:S 09 Oct 10:13:23.618 * Trying a partial resynchronization (request 56b6ab0ecdfef9e6b349f796d44ada2fff4efba7:1).
6:S 09 Oct 10:13:23.622 * Full resync from master: 1500c43378c97bb6050ee89612dfac347debfab8:0
6:S 09 Oct 10:13:23.622 * Discarding previously cached master state.
6:S 09 Oct 10:13:23.704 * MASTER <-> SLAVE sync: receiving 176 bytes from master
6:S 09 Oct 10:13:23.705 * MASTER <-> SLAVE sync: Flushing old data
6:S 09 Oct 10:13:23.705 * MASTER <-> SLAVE sync: Loading DB in memory
6:S 09 Oct 10:13:23.706 * MASTER <-> SLAVE sync: Finished with success
6:S 09 Oct 10:13:23.706 * Background append only file rewriting started by pid 10
6:S 09 Oct 10:13:23.734 * AOF rewrite child asks to stop sending diffs.
10:C 09 Oct 10:13:23.734 * Parent agreed to stop sending diffs. Finalizing AOF...
10:C 09 Oct 10:13:23.734 * Concatenating 0.00 MB of AOF diff received from parent.
10:C 09 Oct 10:13:23.734 * SYNC append only file rewrite performed
10:C 09 Oct 10:13:23.734 * AOF rewrite: 6 MB of memory used by copy-on-write
6:S 09 Oct 10:13:23.808 * Background AOF rewrite terminated with success
6:S 09 Oct 10:13:23.808 * Residual parent diff successfully flushed to the rewritten AOF (0.00 MB)
6:S 09 Oct 10:13:23.808 * Background AOF rewrite finished successfully
6:S 25 Oct 23:40:01.055 # Bad message length or signature received from Cluster bus.
6:S 28 Oct 11:25:56.987 # Bad message length or signature received from Cluster bus.
6:S 11 Dec 08:37:55.529 # Bad message length or signature received from Cluster bus.
6:S 15 Dec 00:52:22.053 # Bad message length or signature received from Cluster bus.
6:S 17 Dec 13:59:53.920 # Bad message length or signature received from Cluster bus.
6:S 26 Dec 18:36:43.522 # Bad message length or signature received from Cluster bus.
6:S 16 Jan 13:22:30.792 # Bad message length or signature received from Cluster bus.
6:S 16 Jan 13:22:31.352 # Bad message length or signature received from Cluster bus.
6:S 22 Jan 13:12:46.938 # Bad message length or signature received from Cluster bus.
6:S 19 Feb 00:40:11.747 # Bad message length or signature received from Cluster bus.
6:S 24 Feb 19:27:19.822 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:06:50.050 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:06:50.107 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:06:50.163 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:06:50.219 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:06:50.280 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:06:50.334 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:05.441 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:05.492 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:05.543 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:05.597 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:05.651 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:05.705 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:05.757 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:05.811 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:05.863 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:05.914 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:05.966 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:06.019 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:06.071 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:06.130 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:06.181 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:06.235 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:06.288 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:11.362 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:11.412 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:11.461 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:11.518 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:11.576 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:11.630 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:16.702 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:16.751 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:21.827 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:21.878 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:21.935 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:21.987 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:37.120 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:37.176 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:37.229 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:37.284 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:37.337 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:42.423 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:42.479 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:42.537 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:42.589 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:47.667 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:47.720 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:47.776 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:47.831 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:47.885 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:47.936 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:47.985 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:48.040 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:48.092 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:53.175 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:07:53.232 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:03.335 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:03.393 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:03.449 # Bad message length or signature received from Cluster bus.
6:S 29 Feb 04:08:08.530 # Bad message length or signature received from Cluster bus.
